Milyen két modellje van a foglalkozáspolitikának?;Teljes foglalkoztatás és piacgazdasági modell;Relativitás és abszolut modell;KEynes és Milton modell;Albert Schweitzer és Adam Smith modell
Mik a családpolitika céljai?;Mind;1. Gyermekvállalásból eredő hátrányok csökkenjenek 2. Szegénység újratermelődését megakadályozni;3. Társadalmi struktúra konzerválása helyett a gyerekben rejlő tehetség kibontakoztatása legyen az iskoláztatás célja”;A szegénység átöröklési ciklusainak megszakítása
A szegénység átöröklési ciklusainak megszakítása?;Mind;otthonról hozott hátrányok kompenzálása korai fejlesztéssel, felzárkóztató programokkal • egyéni fejlesztés a közoktatási intézményekben;• iskolába járás feltételeinek biztosítása • tartalmas, kultúrált szabadidős lehetőség biztosítása • beilleszkedési kudarcok feldolgozása;szülők motiválása, bevonása, bátorítása
Soroljon fel néhány, a Sok gyerek vállalása, mint bűnbakképzési lehetőséget!;Mind;- „gyerekek jogcímén megszerezhető szociális juttatások” - „munkakerülési stratégia” - „sok gyerek vállalása a nomád etnikumok sajátossága” - „felelőtlenség”;- „a szegényeknek ott is több gyereke van, ahol szociális jövedelem nem jár” - „sok gyerek felnevelése nem kevesebb, hanem több munkát jelent” - „felsőbb és középosztály is teremt nagy családot” - „nagy családokat gyakran erős kohézió jellemzi” - „az örökség felosztása nem korlátozza a gyerekvállalást”;- „nem piaci, hanem önellátó háztartásban nem pusztán kiadási tétel, hanem munkaerő” - „iskoláztatási tétellel nem számolnak előre (mint a polgári családokban) - „ahol a szociális biztonság modern, intézményesült eszközeire nem számíthatnak, ott a nagy család jelenti a szociális biztonságot”
Mi következik a következőből: „A gyerekek nyugodt otthoni neveléséhez mindenekelőtt pénz kell…”;Mind;Egyik sem;• Juttatások reálértéke megmaradjon!; • Családi pótlék alig kompenzálja a többletkiadásokat.
Nevelési segély gondolatok, vélemények..;Mind;• Hova jut el? „felesleges lenne tehát felkutatni a rászorulókat, sőt örülni kell, hogy azok maguk nem jelentkeznek”;Stigmatizál, tömeges megoldásként nem finanszírozható, „elfogadhatatlan”, mert gazdaságilag ellenösztönöző.;• Pénzben vagy természetben? (lakás, üdülés, fűtés, étkeztetés, tankönyv)
Kiemelés a családból..;Mind;• Kockázatfelmérés;• Érdemes – érdemtelen (megvetés);Vannak – e eszközeink arra vonatkozóan, hogy érdemessé tegyük a családot?
Vélemények a kiemelésről..;Mind;„a tisztes gyermeknevelés normái osztályhelyzet – és kultúra függőek” „a gyermekvédelemben felnevelkedő gyermekek társadalmi beilleszkedési sikere általában igen alacsony”;„amennyiben lehet, el kell kerülni a természetes családból való kiszakítást” „gondozóintézményben, nevelőszülőnél eltöltött időt átmenetinek kell tekinteni”;„természetes szülőket kell alkalmassá tenni” „ha ez lehetetlen, akkor örökbefogadó/nevelő szülő, családias környezet”
Családpolitika Összességében?;Mind;A zavartalan újratermelés számos családban nem biztosított (negyed, harmad).;Az intézményi hálózat fejlettebb, mint az országok többségében, de a gyerekek érdekei gyakran elsikkadnak.;Leendő munkaerőként. Azok a gyereke, akik vélhetően nem lesznek jó munkaerők, még annyi társadalmi segítséget sem kapnak, mint a többiek.
Mik az Összefüggő ellátások, szolgáltatások (családpolitika)?;Mind;Adósságkezelési szolgáltatás • Aktív korúak ellátása  • Alapszabadság + pót • Apáknak járó szabadság • Anyasági támogatás • Babakötvény • Bölcsődei ellátás;• Családi gyermekfelügyelet • Családi napközi • Árvaellátás • Gyermektartásdíj megelőlegezése • Családi adókedvezmény • Családi pótlék • Családtámogatási ellátások • Családok átmeneti otthona;• Gyámság • Gyermekápolási táppénz • Gyermekjogok • Gyermekek átmeneti gondozása • Gyermekjóléti alapellátások
Mai család statisztikák..;Mind;Egyik sem;Magyarországon ma 4 millió háztartás van, ebből 1,2 millió gyermekes.; A gyermekes háztartások legnagyobb részében 2 felnőtt nevel gyermeket: egyet (30%), kettőt (25%) vagy ennél többet (10%). További 15% az egyszülős háztartások aránya, az „egyéb” gyermekes háztartásoké pedig 19 százalék
A gyermekek fokozatosan váltak a modern szociálpolitika önálló célcsoportjává. Történet: kezdetek?;Mind;EGyik sem;árván maradt, elhagyott vagy csavargó, kolduló gyermekek - egyházi vagy helyi közösségi megoldások;1601-es angol szegénytörvény: a gyermekek szempontjából az első állami beavatkozás, a szegények kategóriái között először definiálták önálló csoportként a gyermekeket, akiknek ellátása is különbözött a felnőttekétől.
Első gyári törvények a gyermekek szempontjából?;Első gyári törvények mindet tartalmazták (minden megállapítás helyes);csak a gyermekek helyzeténekjavítására (munkaidő, munkakörülmények);Az első családi ellátások – kedvezőtlen körülmények között foglalkoztatott gyermekek és nők védelme.;A gyermekmunka korlátozása (olcsó, bérverseny) – 19.sz.vége majd 1919 (Washington-i Munkaügyi Konferencia) az iparban min. életkor 14 év
Az állami beavatkozás kezdetei a gyermekvédelemben?;Mind;Egyik sem;Nem változott semmi a 19.században;a 19. század másodikfelétől változott a gyermekes családok, illetve a gyermekek és az állam közötti intézményesült viszony (közegészségügy, oktatásügy stb.).
Mi a helyzet a 20.századi pronatalista felfogással?;Mind;elsősorban demográfiai célok - pronatalista indíttatás (születésszám csökkenés,, nincs elég társadalmat fenntartó kéz) – gyermekvállalás ösztönzése;a gyermekvállalásból adódó anyagi hátrányok valamilyen szintű kompenzálása, a gyermeki szegénység csökkentése;II. világháború után: e társadalmi beavatkozásokhoz a gyermekeknek joguk is van Államszocialista országok: pronatalista+ egyenlőtlenség csökkentés
Miért születik kevés gyerek születik?;Mind;Későn kezdenek a nők szülni Nem élnek házasságban;A gyerekvállalás költségei Nők megváltozott szerepfelfogása;Munka és gyerekvállalás összeegyeztetése
Családtámogatások céljai?;Mind;hozzájárulás a gyereknevelés költségeihez (Horizontális méltányosság - a gyermekneveléssel összefüggő többletköltségek részleges kompenzálása);a jövedelmi egyenlőtlenségek csökkentése és a szegénység enyhítése (Vertikális méltányosság - a gyermekek körében nagyobb a szegénységi kockázat);a születésszám növelése („pronatalizmus”)
Mik a gyermekszegénységet csökkentő politikák?;Mind;A családok rendelkezésére álló jövedelem emelése (foglalkoztatás, szociális transzferek);családok kiadásainak csökkentése (költségek átvállalása: étkezés, iskolaszer, utazás, iskolai programok stb.);A megelőzésre és gyermek jól-létre összpontosító politikák
Családi pótlék: története?;Mind;A családi munkabér gondolata - XIX. sz. vége -a családos munkás gazdaságilag hátrányos helyzetben van a nem házas és gyermektelen társaival szemben A családi munkabér fizetésére először Franciaországban;XIII. Leó pápa enciklikája, a Rerum Novarum - a munkabérnek olyan mértékűnek kell lennie, hogy elégséges legyen az egész család eltartására;Vita: munkabér/teljesítmény vagy munkabér/család szükségletei
Családi pótlék: története?;Mind;A családi bér kudarca után -, a szociális bér - a munkaadók szövetségével létesített családi munkabér-pénztárak Első: Franciaország 1919;20-as években több mint 200 önkéntes biztosító társaság - munkaadók egy közös pénztárba - gyermekek után járó havi támogatások finanszírozása;Ne TB, költségvetésből: Beveridge jelentés, ILO 1944. évi, a létfeltételek garantálására vonatkozó ajánlása
Csecsemőgondozási díj?;24 hét Előző munkajövedelem %-ban (70%);4 hét;8 hét;16 hét
Anyasági támogatás?;Egyszeri támogatás 64125 Ft;Többszöri támogatás;Nincs;Egyszeri, 16000Ft
Apai szabadság?;  5 nap (a szülést követő 2. hónap végéig)  Távolléti díj (legtöbb esetben a munkabér 100%-a);20 nap;6 nap;10 nap
Szülői szabadságok?;Mind;GYES;GYED;GYET
Szülői szabadságok?;Mind;GYES A gyerek 3 éves koráig Fix összeg (28500 Ft);GYED A gyerek 2 éves koráig  Előző munkajövedelem %-ban (70%, plafon) (2018: max. 193 ezer Ft);GYET (min. 3 gyerek) – a legkisebb 3 és 8 éves kora között Fix összeg (28500 Ft)
Gyereknevelést támogató pénzbeli ellátások?;Mindkettő;Egyik sem;Családi pótlék 18 éves korig 12200 és 17000 Ft (illetve 25900 Ft) között (gyerekszámtól, családstr-tól, eü. állapottól függően); Családi adókedvezmény  18 éves korig Max. kedvezmény: 1 gyerek – havi 10 ezer, 2 gyerek – havi 17500, 3 és 3+ gyerek – havi 33 ezer Ft - minden esetben
Univerzális: Családi pótlék..;Mind;2013: 1 841,5 millió gyerek Nevelési ellátás –iskoláztatási támogatás; Jogosultság 20. életévig, ha közoktatás; Tartós beteg ill. fogyatékos 23. életévig;
Alanyi jogú családtámogatások?;mind;Anyasági támogatás;Gyermekgondozási segély – GYES;Gyermeknevelési támogatás (GYET)
Családpolitika - TB alapú ellátások?;Mind;Csecsemőápolási díj (terhességi gyermekágyi segély);Gyermekgondozási díj (GYED), 1985;Gyermekápolási táppénz Gyermek után járó szabadság
Családi adókedvezmény?;Mind;Jogosultság;Gyermekes családok;Adóalapot csökkenti
Segély a családoknak;Mindkettő;Egyik sem;Rendszeres gyermekvédelmi kedvezmény;Rendkívüli gyermekvédelmi támogatás – 2015-től beolvad az önkormányzati segélybe
Változások a családtámogatásokban?;Mind;Bokros csomag 1996ban megszűnteti a GYEDet;Jövedelemhez köti bokros a GYES-t;GYET új ellátás 90es évek, Családi pótlék univerzális (90') jövedelmhez kötött 98'ig, 2006-növelés, családi adókedvezmény:később mégtöbb növelés
Mi a Bölcsőde?;Mind;3 éven aluli gyermekek;kötelező a tízezer lakost számláló vagy annál nagyobb településeken 2015-ben 749 bölcsőde, 1188 családi napközi országosan;A bölcsődei felvétel során előnyben részesítik azt a rendszeres gyermekvédelmi kedvezményre jogosult gyermeket, akinek szülője vagy más törvényes képviselője igazolja, hogy munkaviszonyban vagy munkavégzésre irányuló egyéb jogviszonyban áll.
Mi az Óvoda?;Mind;a gyermek hároméves korától a tankötelezettség kezdetéig - kötelező;4564 óvoda, 2015 379 671 főnek férőhely;14 895 csoport egy csoportban átlagosan 22 gyerek
Gyermekek Egyéb napközbeni ellátásai?;Mind;családi napközi;családi gyermekfelügyelet házi gyermekfelügyelet;az alternatív napközbeni ellátás
Tartósan beteg ill. súlyosan fogyatékos gyermek ellátásai?;Mind;Ápolási díj Magasabb összegű családi pótlék Gyes;Étkezési térítési díjkedvezmény Ingyenes tankönyvellátás Közgyógyellátási igazolvány Közlekedési támogatás;Gépkocsi-szerzési támogatás Parkolási igazolvány Utazási kedvezmény
2010-16 családtámogatások?;Mind;Megnő a családi adókedvezmény, első házasok kedvezménye;Semmi;Csak a kormánytagok kaptak
Mik a családtámogatási megoldások?;Mind;Foglalkoztatás növelése;Jobb lakáskörülmények;Korai képességfejlesztés és szegregáció-mentes iskola Jobb szolgáltatások képességfejlesztés és szegregáció-mentes iskola Anyagi helyzet javítása Egészségesebb gyerekkor
Megoldás a családtámogatások ügyében?;Mind;Egyik sem;A családtámogatások önmagukban nem alkalmasak a társadalmi problémák, ezen belül a kirekesztés vagy a szegénység problémáinak kezelésére.;Általános tapasztalat, hogy azokban az országokban alakul kedvezőbben a gyerekek és a gyerekes családok helyzete, ott tudják megakadályozni a gyerekszegénység növekedését, ahol viszonylag magas a foglalkoztatottak aránya, a bérek színvonala és mindehhez kiszámítható, stabil, értékőrző gyerektámogatások társulnak.
